Date,XLF
,XLF
2017-01-03,20.094602584838867
2017-01-04,20.256999969482422
2017-01-05,20.05186653137207
2017-01-06,20.1202449798584
2017-01-09,19.983491897583008
2017-01-10,20.02622413635254
2017-01-11,20.154434204101562
2017-01-12,19.983491897583008
2017-01-13,20.094602584838867
2017-01-17,19.61595916748047
2017-01-18,19.778348922729492
2017-01-19,19.692880630493164
2017-01-20,19.786895751953125
2017-01-23,19.658689498901367
2017-01-24,19.906557083129883
2017-01-25,20.23990249633789
2017-01-26,20.291181564331055
2017-01-27,20.21426010131836
2017-01-30,20.05186653137207
2017-01-31,19.92365837097168
2017-02-01,19.949295043945312
2017-02-02,19.87236785888672
2017-02-03,20.274089813232422
2017-02-06,20.180076599121094
2017-02-07,20.1287899017334
2017-02-08,19.992034912109375
2017-02-09,20.265546798706055
2017-02-10,20.32537841796875
2017-02-13,20.556154251098633
2017-02-14,20.79547691345215
2017-02-15,20.95787811279297
2017-02-16,20.906587600708008
2017-02-17,20.915136337280273
2017-02-21,21.0177059173584
2017-02-22,21.03479766845703
2017-02-23,21.03479766845703
2017-02-24,20.872400283813477
2017-02-27,20.983509063720703
2017-02-28,20.97496795654297
2017-03-01,21.573274612426758
2017-03-02,21.23993492126465
2017-03-03,21.342498779296875
2017-03-06,21.18010139465332
2017-03-07,21.120267868041992
2017-03-08,21.128820419311523
2017-03-09,21.20574188232422
2017-03-10,21.188648223876953
2017-03-13,21.23993492126465
2017-03-14,21.18010139465332
2017-03-15,21.145912170410156
2017-03-16,21.18010139465332
2017-03-17,20.972524642944336
2017-03-20,20.800966262817383
2017-03-21,20.217681884765625
2017-03-22,20.174793243408203
2017-03-23,20.217681884765625
2017-03-24,20.19194793701172
2017-03-27,20.114749908447266
2017-03-28,20.389232635498047
2017-03-29,20.26057243347168
2017-03-30,20.526477813720703
2017-03-31,20.35492515563965
2017-04-03,20.312036514282227
2017-04-04,20.286306381225586
2017-04-05,20.131900787353516
2017-04-06,20.26057243347168
2017-04-07,20.174793243408203
2017-04-10,20.123321533203125
2017-04-11,20.06328010559082
2017-04-12,19.90030288696289
2017-04-13,19.642972946166992
2017-04-17,19.986083984375
2017-04-18,19.79737091064453
2017-04-19,19.737321853637695
2017-04-20,20.071861267089844
2017-04-21,19.865999221801758
2017-04-24,20.312036514282227
2017-04-25,20.492168426513672
2017-04-26,20.475017547607422
2017-04-27,20.38065528869629
2017-04-28,20.183372497558594
2017-05-01,20.312036514282227
2017-05-02,20.286306381225586
2017-05-03,20.44927978515625
2017-05-04,20.483591079711914
2017-05-05,20.44927978515625
2017-05-08,20.432125091552734
2017-05-09,20.35492515563965
2017-05-10,20.423547744750977
2017-05-11,20.294885635375977
2017-05-12,20.209104537963867
2017-05-15,20.363502502441406
2017-05-16,20.423547744750977
2017-05-17,19.780221939086914
2017-05-18,19.857418060302734
2017-05-19,20.028976440429688
2017-05-22,20.080434799194336
2017-05-23,20.234834671020508
2017-05-24,20.226259231567383
2017-05-25,20.26057243347168
2017-05-26,20.25199317932129
2017-05-30,20.114749908447266
2017-05-31,19.94319725036621
2017-06-01,20.19194793701172
2017-06-02,20.114749908447266
2017-06-05,20.149059295654297
2017-06-06,20.06328010559082
2017-06-07,20.217681884765625
2017-06-08,20.44927978515625
2017-06-09,20.835277557373047
2017-06-12,20.8781681060791
2017-06-13,20.989675521850586
2017-06-14,21.023990631103516
2017-06-15,20.938207626342773
2017-06-16,20.91496467590332
2017-06-19,21.130229949951172
2017-06-20,20.949405670166016
2017-06-21,20.777196884155273
2017-06-22,20.648038864135742
2017-06-23,20.57053565979004
2017-06-26,20.68247413635254
2017-06-27,20.785804748535156
2017-06-28,21.113006591796875
2017-06-29,21.25938606262207
2017-06-30,21.242162704467773
2017-07-03,21.552141189575195
2017-07-05,21.586585998535156
2017-07-06,21.4229793548584
2017-07-07,21.56936264038086
2017-07-10,21.543529510498047
2017-07-11,21.35409927368164
2017-07-12,21.4229793548584
2017-07-13,21.552141189575195
2017-07-14,21.457426071166992
2017-07-17,21.38853645324707
2017-07-18,21.35409927368164
2017-07-19,21.362709045410156
2017-07-20,21.35409927368164
2017-07-21,21.35409927368164
2017-07-24,21.44881248474121
2017-07-25,21.715744018554688
2017-07-26,21.56936264038086
2017-07-27,21.44881248474121
2017-07-28,21.44881248474121
2017-07-31,21.603805541992188
2017-08-01,21.7587947845459
2017-08-02,21.79323387145996
2017-08-03,21.715744018554688
2017-08-04,21.862117767333984
2017-08-07,21.82768440246582
2017-08-08,21.767410278320312
2017-08-09,21.767410278320312
2017-08-10,21.379928588867188
2017-08-11,21.293825149536133
2017-08-14,21.586585998535156
2017-08-15,21.603805541992188
2017-08-16,21.56075096130371
2017-08-17,21.190500259399414
2017-08-18,21.199111938476562
2017-08-21,21.138835906982422
2017-08-22,21.371318817138672
2017-08-23,21.30243492126465
2017-08-24,21.30243492126465
2017-08-25,21.362709045410156
2017-08-28,21.22494125366211
2017-08-29,21.15605926513672
2017-08-30,21.242162704467773
2017-08-31,21.267990112304688
2017-09-01,21.32826805114746
2017-09-05,20.871912002563477
2017-09-06,20.92357063293457
2017-09-07,20.561927795410156
2017-09-08,20.751361846923828
2017-09-11,21.113006591796875
2017-09-12,21.362709045410156
2017-09-13,21.397151947021484
2017-09-14,21.35409927368164
2017-09-15,21.417221069335938
2017-09-18,21.667966842651367
2017-09-19,21.832252502441406
2017-09-20,21.96194076538086
2017-09-21,22.01382064819336
2017-09-22,21.98788070678711
2017-09-25,21.96194076538086
2017-09-26,21.95329475402832
