Date,XLI
,XLI
2017-01-03,54.160484313964844
2017-01-04,54.480648040771484
2017-01-05,54.32489013671875
2017-01-06,54.63640213012695
2017-01-09,54.2124137878418
2017-01-10,54.43738555908203
2017-01-11,54.72294616699219
2017-01-12,54.49796676635742
2017-01-13,54.70563507080078
2017-01-17,54.28163146972656
2017-01-18,54.48931121826172
2017-01-19,54.887367248535156
2017-01-20,54.89601135253906
2017-01-23,54.59314727783203
2017-01-24,55.1383056640625
2017-01-25,55.71805953979492
2017-01-26,55.84787368774414
2017-01-27,55.804603576660156
2017-01-30,55.328678131103516
2017-01-31,54.844093322753906
2017-02-01,54.74889373779297
2017-02-02,54.645076751708984
2017-02-03,55.05176544189453
2017-02-06,55.12964630126953
2017-02-07,55.224830627441406
2017-02-08,55.1469612121582
2017-02-09,55.57096481323242
2017-02-10,56.01227951049805
2017-02-13,56.5747184753418
2017-02-14,56.60069274902344
2017-02-15,56.903560638427734
2017-02-16,56.920867919921875
2017-02-17,57.016048431396484
2017-02-21,57.301597595214844
2017-02-22,57.145851135253906
2017-02-23,56.77375030517578
2017-02-24,57.016048431396484
2017-02-27,57.22372055053711
2017-02-28,56.990081787109375
2017-03-01,57.950592041015625
2017-03-02,57.32756805419922
2017-03-03,57.388126373291016
2017-03-06,57.249691009521484
2017-03-07,57.08527374267578
2017-03-08,56.886253356933594
2017-03-09,56.62663650512695
2017-03-10,56.972774505615234
2017-03-13,56.938175201416016
2017-03-14,56.40167999267578
2017-03-15,57.04201126098633
2017-03-16,56.782413482666016
2017-03-17,57.09273910522461
2017-03-20,56.98841857910156
2017-03-21,56.11915969848633
2017-03-22,56.31910705566406
2017-03-23,56.24086380004883
2017-03-24,56.09309768676758
2017-03-27,55.893165588378906
2017-03-28,56.48426818847656
2017-03-29,56.47557067871094
2017-03-30,56.78849792480469
2017-03-31,56.553794860839844
2017-04-03,56.43209457397461
2017-04-04,56.57987594604492
2017-04-05,56.3973274230957
2017-04-06,56.553794860839844
2017-04-07,56.61464309692383
2017-04-10,56.75373077392578
2017-04-11,56.83195877075195
2017-04-12,56.049625396728516
2017-04-13,55.6497688293457
2017-04-17,56.25825500488281
2017-04-18,56.07571029663086
2017-04-19,56.12785720825195
2017-04-20,56.8058967590332
2017-04-21,56.85803985595703
2017-04-24,57.66644287109375
2017-04-25,57.94460678100586
2017-04-26,57.95328903198242
2017-04-27,57.9359130859375
2017-04-28,57.66644287109375
2017-05-01,57.49260711669922
2017-05-02,57.770751953125
2017-05-03,57.814231872558594
2017-05-04,57.87508010864258
2017-05-05,58.17060852050781
2017-05-08,58.01416015625
2017-05-09,58.092384338378906
2017-05-10,57.97069549560547
2017-05-11,57.95328903198242
2017-05-12,57.63168716430664
2017-05-15,57.901153564453125
2017-05-16,57.840309143066406
2017-05-17,56.684173583984375
2017-05-18,56.76241683959961
2017-05-19,57.509971618652344
2017-05-22,57.95328903198242
2017-05-23,58.074989318847656
2017-05-24,58.144535064697266
2017-05-25,58.52701950073242
2017-05-26,58.59654998779297
2017-05-30,58.57917022705078
2017-05-31,58.69219207763672
2017-06-01,59.0572509765625
2017-06-02,59.291961669921875
2017-06-05,59.083351135253906
2017-06-06,58.68348693847656
2017-06-07,58.61394500732422
2017-06-08,58.80517578125
2017-06-09,59.031185150146484
2017-06-12,59.24849319458008
2017-06-13,59.491878509521484
2017-06-14,59.43104553222656
2017-06-15,59.78742980957031
2017-06-16,59.98307418823242
2017-06-19,60.349884033203125
2017-06-20,59.703582763671875
2017-06-21,59.30183029174805
2017-06-22,59.1795768737793
2017-06-23,59.39790725708008
2017-06-26,59.41537094116211
2017-06-27,58.96997833251953
2017-06-28,59.50272750854492
2017-06-29,58.99616622924805
2017-06-30,59.485233306884766
2017-07-03,59.85207748413086
2017-07-05,60.0267333984375
2017-07-06,59.50272750854492
2017-07-07,59.965606689453125
2017-07-10,60.14027404785156
2017-07-11,60.087867736816406
2017-07-12,60.41975784301758
2017-07-13,60.37607192993164
2017-07-14,60.63810348510742
2017-07-17,60.6031608581543
2017-07-18,60.46341323852539
2017-07-19,60.52457046508789
2017-07-20,60.18395233154297
2017-07-21,60.07040023803711
2017-07-24,59.93939208984375
2017-07-25,59.860801696777344
2017-07-26,59.93939208984375
2017-07-27,59.59878158569336
2017-07-28,59.738521575927734
2017-07-31,59.659912109375
2017-08-01,59.485233306884766
2017-08-02,59.74726104736328
2017-08-03,60.0442008972168
2017-08-04,60.15773010253906
2017-08-07,60.15773010253906
2017-08-08,59.974327087402344
2017-08-09,59.99180603027344
2017-08-10,59.23197555541992
2017-08-11,59.26689910888672
2017-08-14,59.88700866699219
2017-08-15,59.75598907470703
2017-08-16,59.92193603515625
2017-08-17,58.88261032104492
2017-08-18,58.646820068359375
2017-08-21,58.742889404296875
2017-08-22,59.41537094116211
2017-08-23,58.856422424316406
2017-08-24,58.673011779785156
2017-08-25,58.952491760253906
2017-08-28,58.91755676269531
2017-08-29,59.34549331665039
2017-08-30,59.59005355834961
2017-08-31,59.790931701660156
2017-09-01,59.84332275390625
2017-09-05,59.24070358276367
2017-09-06,59.30183029174805
2017-09-07,59.42410659790039
2017-09-08,59.624977111816406
2017-09-11,60.14027404785156
2017-09-12,60.42850112915039
2017-09-13,60.34114456176758
2017-09-14,60.62936019897461
2017-09-15,60.88029861450195
2017-09-18,61.22245788574219
2017-09-19,61.283870697021484
2017-09-20,61.731319427490234
2017-09-21,61.91556930541992
2017-09-22,62.07352828979492
2017-09-25,62.07352828979492
2017-09-26,62.07352828979492
2017-09-27,62.14370346069336
