Date,XLK
,XLK
2017-01-03,44.60256576538086
2017-01-04,44.75798034667969
2017-01-05,44.83111572265625
2017-01-06,45.160213470458984
2017-01-09,45.15106964111328
2017-01-10,45.160213470458984
2017-01-11,45.3704719543457
2017-01-12,45.260765075683594
2017-01-13,45.39790344238281
2017-01-17,45.224205017089844
2017-01-18,45.343040466308594
2017-01-19,45.2790412902832
2017-01-20,45.52587890625
2017-01-23,45.608158111572266
2017-01-24,45.89154052734375
2017-01-25,46.330352783203125
2017-01-26,46.202362060546875
2017-01-27,46.38521194458008
2017-01-30,46.01039505004883
2017-01-31,45.78184509277344
2017-02-01,46.129241943359375
2017-02-02,46.03782653808594
2017-02-03,46.33949661254883
2017-02-06,46.366920471191406
2017-02-07,46.54975891113281
2017-02-08,46.63203048706055
2017-02-09,46.77830505371094
2017-02-10,46.91542434692383
2017-02-13,47.12568664550781
2017-02-14,47.281089782714844
2017-02-15,47.4365119934082
2017-02-16,47.54620361328125
2017-02-17,47.71076202392578
2017-02-21,47.95758056640625
2017-02-22,48.0124397277832
2017-02-23,48.00328826904297
2017-02-24,48.11298751831055
2017-02-27,48.085567474365234
2017-02-28,47.857025146484375
2017-03-01,48.533512115478516
2017-03-02,48.21355438232422
2017-03-03,48.3232536315918
2017-03-06,48.25011444091797
2017-03-07,48.25011444091797
2017-03-08,48.30498123168945
2017-03-09,48.295833587646484
2017-03-10,48.551788330078125
2017-03-13,48.59750747680664
2017-03-14,48.48781204223633
2017-03-15,48.816925048828125
2017-03-16,48.84432601928711
2017-03-17,48.949859619140625
2017-03-20,48.99574279785156
2017-03-21,48.27995681762695
2017-03-22,48.58279037475586
2017-03-23,48.45431137084961
2017-03-24,48.491031646728516
2017-03-27,48.491031646728516
2017-03-28,48.839752197265625
2017-03-29,48.92232894897461
2017-03-30,49.01410675048828
2017-03-31,48.92232894897461
2017-04-03,48.87644958496094
2017-04-04,48.913150787353516
2017-04-05,48.71126937866211
2017-04-06,48.72044372558594
2017-04-07,48.69292068481445
2017-04-10,48.601139068603516
2017-04-11,48.41758728027344
2017-04-12,48.2524299621582
2017-04-13,48.05970764160156
2017-04-17,48.500205993652344
2017-04-18,48.491031646728516
2017-04-19,48.45431137084961
2017-04-20,48.89480209350586
2017-04-21,48.793853759765625
2017-04-24,49.37202072143555
2017-04-25,49.628963470458984
2017-04-26,49.57389831542969
2017-04-27,49.775794982910156
2017-04-28,49.904266357421875
2017-05-01,50.28053283691406
2017-05-02,50.39065170288086
2017-05-03,50.298866271972656
2017-05-04,50.26217269897461
2017-05-05,50.445716857910156
2017-05-08,50.66595458984375
2017-05-09,50.730194091796875
2017-05-10,50.92291259765625
2017-05-11,50.858680725097656
2017-05-12,50.98716354370117
2017-05-15,51.271636962890625
2017-05-16,51.51023864746094
2017-05-17,50.10615921020508
2017-05-18,50.39982986450195
2017-05-19,50.693477630615234
2017-05-22,51.09727096557617
2017-05-23,51.18904113769531
2017-05-24,51.400108337402344
2017-05-25,51.76719665527344
2017-05-26,51.73965835571289
2017-05-30,51.95990753173828
2017-05-31,51.877315521240234
2017-06-01,52.00578308105469
2017-06-02,52.482994079589844
2017-06-05,52.52888870239258
2017-06-06,52.427940368652344
2017-06-07,52.59312057495117
2017-06-08,52.71242141723633
2017-06-09,51.409297943115234
2017-06-12,51.10645294189453
2017-06-13,51.4735221862793
2017-06-14,51.225746154785156
2017-06-15,50.9963264465332
2017-06-16,50.906944274902344
2017-06-19,51.66249465942383
2017-06-20,51.24787902832031
2017-06-21,51.53349304199219
2017-06-22,51.55192565917969
2017-06-23,51.874412536621094
2017-06-26,51.597999572753906
2017-06-27,50.750308990478516
2017-06-28,51.386077880859375
2017-06-29,50.464691162109375
2017-06-30,50.41862106323242
2017-07-03,50.068485260009766
2017-07-05,50.56603240966797
2017-07-06,50.1053466796875
2017-07-07,50.685813903808594
2017-07-10,51.054378509521484
2017-07-11,51.164947509765625
2017-07-12,51.82833480834961
2017-07-13,51.92969512939453
2017-07-14,52.390384674072266
2017-07-17,52.39960861206055
2017-07-18,52.63916778564453
2017-07-19,52.906368255615234
2017-07-20,53.01694107055664
2017-07-21,52.95245361328125
2017-07-24,53.08143997192383
2017-07-25,52.980079650878906
2017-07-26,53.18279266357422
2017-07-27,52.980079650878906
2017-07-28,52.924800872802734
2017-07-31,52.66682052612305
2017-08-01,52.934017181396484
2017-08-02,53.08143997192383
2017-08-03,52.96165466308594
2017-08-04,53.08143997192383
2017-08-07,53.403926849365234
2017-08-08,53.330223083496094
2017-08-09,53.302574157714844
2017-08-10,52.25217819213867
2017-08-11,52.611534118652344
2017-08-14,53.44999313354492
2017-08-15,53.53292465209961
2017-08-16,53.68955993652344
2017-08-17,52.63916778564453
2017-08-18,52.583885192871094
2017-08-21,52.56545639038086
2017-08-22,53.34865188598633
2017-08-23,53.219642639160156
2017-08-24,53.173580169677734
2017-08-25,53.16437530517578
2017-08-28,53.26572036743164
2017-08-29,53.49607467651367
2017-08-30,53.883056640625
2017-08-31,54.20552444458008
2017-09-01,54.15947723388672
2017-09-05,53.68033981323242
2017-09-06,53.726417541503906
2017-09-07,53.91069412231445
2017-09-08,53.46841812133789
2017-09-11,54.22396469116211
2017-09-12,54.35297393798828
2017-09-13,54.27925491333008
2017-09-14,54.09496307373047
2017-09-15,54.315982818603516
2017-09-18,54.36220169067383
2017-09-19,54.60262680053711
2017-09-20,54.380706787109375
2017-09-21,54.08479690551758
2017-09-22,54.11254119873047
2017-09-25,53.474510192871094
2017-09-26,53.66868591308594
2017-09-27,54.214256286621094
